"TIME","CPA02","AIRPOL","ORIGIN","UNIT","T_COLS","GEO","Value","Flag and Footnotes"
"2000","Other transport equipment","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","53,102,570","e"
"2000","Furniture; other manufactured goods n.e.c.","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","196,982","e"
"2000","Furniture; other manufactured goods n.e.c.","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","230,380","e"
"2000","Furniture; other manufactured goods n.e.c.","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","249,155","e"
"2000","Furniture; other manufactured goods n.e.c.","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","13,131","e"
"2000","Furniture; other manufactured goods n.e.c.","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","73,416,540","e"
"2000","Recovered secondary raw materials","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","579","e"
"2000","Recovered secondary raw materials","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","664","e"
"2000","Recovered secondary raw materials","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","978","e"
"2000","Recovered secondary raw materials","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","27","e"
"2000","Recovered secondary raw materials","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","212,740","e"
"2000","Electrical energy, gas, steam and hot water","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","2,426,003","e"
"2000","Electrical energy, gas, steam and hot water","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","900,286","e"
"2000","Electrical energy, gas, steam and hot water","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","1,183,532","e"
"2000","Electrical energy, gas, steam and hot water","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","14,902","e"
"2000","Electrical energy, gas, steam and hot water","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","519,443,860","e"
"2000","Collected and purified water, distribution services of water","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","68,875","e"
"2000","Collected and purified water, distribution services of water","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","34,827","e"
"2000","Collected and purified water, distribution services of water","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","106,913","e"
"2000","Collected and purified water, distribution services of water","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","1,238","e"
"2000","Collected and purified water, distribution services of water","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","16,833,350","e"
"2000","Construction work","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","984,827","e"
"2000","Construction work","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","1,370,224","e"
"2000","Construction work","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","1,106,821","e"
"2000","Construction work","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","50,071","e"
"2000","Construction work","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","392,651,630","e"
