"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2006","Lithuania","Nitrogen oxides","Total - all NACE activities","Tonne",":",""
"2006","Lithuania","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Lithuania","Nitrogen oxides","Education","Tonne",":",""
"2006","Lithuania","Nitrogen oxides","Human health and social work activities","Tonne",":",""
"2006","Lithuania","Methane","Total - all NACE activities","Tonne",":",""
"2006","Lithuania","Methane","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Lithuania","Methane","Education","Tonne",":",""
"2006","Lithuania","Methane","Human health and social work activities","Tonne",":",""
"2006","Lithuania","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2006","Lithuania","Nitrous oxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Lithuania","Nitrous oxide","Education","Tonne",":",""
"2006","Lithuania","Nitrous oxide","Human health and social work activities","Tonne",":",""
"2006","Lithuania","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2006","Lithuania","Carbon dioxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Lithuania","Carbon dioxide","Education","Tonne",":",""
"2006","Lithuania","Carbon dioxide","Human health and social work activities","Tonne",":",""
"2006","Luxembourg","Nitrogen oxides","Total - all NACE activities","Tonne",":",""
"2006","Luxembourg","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Luxembourg","Nitrogen oxides","Education","Tonne",":",""
"2006","Luxembourg","Nitrogen oxides","Human health and social work activities","Tonne",":",""
"2006","Luxembourg","Methane","Total - all NACE activities","Tonne",":",""
"2006","Luxembourg","Methane","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Luxembourg","Methane","Education","Tonne",":",""
"2006","Luxembourg","Methane","Human health and social work activities","Tonne",":",""
"2006","Luxembourg","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2006","Luxembourg","Nitrous oxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Luxembourg","Nitrous oxide","Education","Tonne",":",""
"2006","Luxembourg","Nitrous oxide","Human health and social work activities","Tonne",":",""
"2006","Luxembourg","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2006","Luxembourg","Carbon dioxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Luxembourg","Carbon dioxide","Education","Tonne",":",""
"2006","Luxembourg","Carbon dioxide","Human health and social work activities","Tonne",":",""
"2006","Hungary","Nitrogen oxides","Total - all NACE activities","Tonne","141,673.82",""
"2006","Hungary","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne","2,890.45",""
"2006","Hungary","Nitrogen oxides","Education","Tonne","1,002.75",""
"2006","Hungary","Nitrogen oxides","Human health and social work activities","Tonne","703.8",""
"2006","Hungary","Methane","Total - all NACE activities","Tonne","323,558.03",""
"2006","Hungary","Methane","Public administration and defence; compulsory social security","Tonne","215.56",""
"2006","Hungary","Methane","Education","Tonne","111.43",""
"2006","Hungary","Methane","Human health and social work activities","Tonne","89.85",""
"2006","Hungary","Nitrous oxide","Total - all NACE activities","Tonne","18,113.32",""
"2006","Hungary","Nitrous oxide","Public administration and defence; compulsory social security","Tonne","12.67",""
"2006","Hungary","Nitrous oxide","Education","Tonne","3.98",""
"2006","Hungary","Nitrous oxide","Human health and social work activities","Tonne","32.9",""
"2006","Hungary","Carbon dioxide","Total - all NACE activities","Tonne","44,406,628",""
"2006","Hungary","Carbon dioxide","Public administration and defence; compulsory social security","Tonne","828,290",""
"2006","Hungary","Carbon dioxide","Education","Tonne","420,374",""
"2006","Hungary","Carbon dioxide","Human health and social work activities","Tonne","337,306",""
"2006","Malta","Nitrogen oxides","Total - all NACE activities","Tonne","8,691.86","s"
"2006","Malta","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne","39.97","s"
"2006","Malta","Nitrogen oxides","Education","Tonne","25.64","s"
"2006","Malta","Nitrogen oxides","Human health and social work activities","Tonne","23.7","s"
"2006","Malta","Methane","Total - all NACE activities","Tonne","6,653.26","s"
"2006","Malta","Methane","Public administration and defence; compulsory social security","Tonne","1.46","s"
"2006","Malta","Methane","Education","Tonne","0.48","s"
"2006","Malta","Methane","Human health and social work activities","Tonne","0.95","s"
"2006","Malta","Nitrous oxide","Total - all NACE activities","Tonne","248.63","s"
"2006","Malta","Nitrous oxide","Public administration and defence; compulsory social security","Tonne","0.09","s"
"2006","Malta","Nitrous oxide","Education","Tonne","0.05","s"
"2006","Malta","Nitrous oxide","Human health and social work activities","Tonne","2.15","s"
"2006","Malta","Carbon dioxide","Total - all NACE activities","Tonne","4,335,435","s"
"2006","Malta","Carbon dioxide","Public administration and defence; compulsory social security","Tonne","10,973","s"
"2006","Malta","Carbon dioxide","Education","Tonne","3,319","s"
"2006","Malta","Carbon dioxide","Human health and social work activities","Tonne","6,919","s"
"2006","Netherlands","Nitrogen oxides","Total - all NACE activities","Tonne","570,130.74",""
"2006","Netherlands","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne","9,888.77",""
"2006","Netherlands","Nitrogen oxides","Education","Tonne","1,057.23",""
"2006","Netherlands","Nitrogen oxides","Human health and social work activities","Tonne","1,766.92",""
"2006","Netherlands","Methane","Total - all NACE activities","Tonne","778,245.6",""
"2006","Netherlands","Methane","Public administration and defence; compulsory social security","Tonne","7,189.46",""
"2006","Netherlands","Methane","Education","Tonne","364.83",""
"2006","Netherlands","Methane","Human health and social work activities","Tonne","684.27",""
"2006","Netherlands","Nitrous oxide","Total - all NACE activities","Tonne","46,576.72",""
"2006","Netherlands","Nitrous oxide","Public administration and defence; compulsory social security","Tonne","93.5",""
"2006","Netherlands","Nitrous oxide","Education","Tonne","3.57",""
"2006","Netherlands","Nitrous oxide","Human health and social work activities","Tonne","130.06",""
"2006","Netherlands","Carbon dioxide","Total - all NACE activities","Tonne","164,336,785",""
"2006","Netherlands","Carbon dioxide","Public administration and defence; compulsory social security","Tonne","2,135,184",""
"2006","Netherlands","Carbon dioxide","Education","Tonne","744,634",""
"2006","Netherlands","Carbon dioxide","Human health and social work activities","Tonne","1,376,217",""
"2006","Austria","Nitrogen oxides","Total - all NACE activities","Tonne",":",""
"2006","Austria","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne",":",""
